id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4971402,City Oasis - Lazing in the sun,6571299,Jochen,,Meidling,48.18826,16.34121,Entire home/apt,100,1,0,,,4,0,0,
5466040,Cosy/apartment/near center,28043282,Charlotte,,Landstra§e,48.20032,16.40101,Entire home/apt,50,1,1,2015-05-03,0.01,1,0,0,
4974162,Private room in Vienna's centre,25640886,Anna,,Alsergrund,48.22449,16.36397,Private room,35,3,4,2016-07-11,0.04,1,0,0,
5473367,Funky appartement near Yppenplatz,28387115,Andreas,,Hernals,48.21673,16.33348,Entire home/apt,45,2,3,2015-09-20,0.03,1,0,0,
4975085,Wien Zentrum Günstig 4 Personen,25644796,Ani,,Meidling,48.1744,16.32578,Entire home/apt,100,1,3,2019-08-23,0.06,1,0,0,
4975348,@VOGELWEIDPLATZ: SONG CONTEST,25646506,Christine,,Rudolfsheim-Fnfhaus,48.20338,16.33209,Private room,55,2,0,,,1,0,0,
5475789,Charming 60 m2 - Museumsquarter Art X-mas market,16730217,Marion,,Neubau,48.2012,16.35183,Entire home/apt,85,3,74,2019-12-23,0.83,1,40,0,
4981184,Süßes Zimmer - Cute Room,25678567,Natalie,,Simmering,48.17392,16.4176,Private room,30,2,20,2020-01-10,0.41,1,0,0,
5478007,Great City Prominade,28407863,Maria,,Alsergrund,48.21788,16.36057,Entire home/apt,75,4,183,2022-08-22,2.02,1,258,25,
4984196,Boutique Apartment in central Vienna,5307364,Marlies & Dominik,,Margareten,48.18811,16.36046,Entire home/apt,90,7,211,2022-08-31,2.26,2,198,18,
4990963,"2BR Family Apart., close metro, parking opt.",7147147,Emmanuel,,Alsergrund,48.23039,16.35354,Entire home/apt,117,1,5,2022-04-24,0.05,22,172,2,
5488105,Nice small apartment,28457447,Nahid,,Landstra§e,48.19595,16.38688,Entire home/apt,52,2,0,,,1,0,0,
